日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,13:00,墨西哥-烏克蘭,男,國立台灣大學體育館,,,,
2017-08-20,13:00,賽普勒斯-伊朗,男,陸軍專科學校體育館,,,,
2017-08-20,13:00,羅馬尼亞-智利,男,國立清華大學體育館,,,,
2017-08-20,15:00,葡萄牙-南韓,男,國立台灣大學體育館,,,,
2017-08-20,15:00,阿根廷-瑞士,男,陸軍專科學校體育館,,,,
2017-08-20,15:00,捷克-澳洲,男,國立清華大學體育館,,,,
2017-08-20,18:00,日本-美國,男,國立台灣大學體育館,,,,
2017-08-20,18:00,加拿大-阿拉伯聯合大公國,男,陸軍專科學校體育館,,,,
2017-08-20,18:00,俄羅斯-香港,男,國立清華大學體育館,,,,
2017-08-20,20:00,中華台北-法國,男,國立台灣大學體育館,,,,
2017-08-21,13:00,阿根廷-烏克蘭,女,國立台灣大學體育館,,,,
2017-08-21,13:00,泰國-拉脫維亞,女,陸軍專科學校體育館,,,,
2017-08-21,13:00,瑞士-加拿大,女,國立台灣師範大學本部體育館,,,,
2017-08-21,13:00,羅馬尼亞-捷克,男,國立清華大學體育館,,,,
2017-08-21,13:00,烏克蘭-葡萄牙,男,中國文化大學體育館,,,,
2017-08-21,15:00,法國-中華台北,女,國立台灣大學體育館,,,,
2017-08-21,15:00,日本-美國,女,陸軍專科學校體育館,,,,
2017-08-21,15:00,哥倫比亞-捷克,女,國立台灣師範大學本部體育館,,,,
2017-08-21,15:00,澳洲-俄羅斯,男,國立清華大學體育館,,,,
2017-08-21,15:00,拉脫維亞-墨西哥,男,中國文化大學體育館,,,,
2017-08-21,18:00,巴西-日本,男,國立台灣大學體育館,,,,
2017-08-21,18:00,伊朗-阿拉伯聯合大公國,男,陸軍專科學校體育館,,,,
2017-08-21,18:00,巴西-芬蘭,女,國立台灣師範大學本部體育館,,,,
2017-08-21,18:00,智利-香港,男,國立清華大學體育館,,,,
2017-08-21,18:00,賽普勒斯-阿根廷,男,中國文化大學體育館,,,,
2017-08-21,20:00,美國-中華台北,男,國立台灣大學體育館,,,,
2017-08-21,20:00,瑞士-加拿大,男,陸軍專科學校體育館,,,,
2017-08-21,20:00,墨西哥-俄羅斯,女,國立台灣師範大學本部體育館,,,,
2017-08-22,13:00,阿根廷-瑞士,女,國立台灣大學體育館,,,,
2017-08-22,13:00,日本-泰國,女,陸軍專科學校體育館,,,,
2017-08-22,13:00,烏克蘭-加拿大,女,國立台灣師範大學本部體育館,,,,
2017-08-22,13:00,俄羅斯-羅馬尼亞,男,國立清華大學體育館,,,,
2017-08-22,15:00,中華台北-捷克,女,國立台灣大學體育館,,,,
2017-08-22,15:00,美國-拉脫維亞,女,陸軍專科學校體育館,,,,
2017-08-22,15:00,法國-哥倫比亞,女,國立台灣師範大學本部體育館,,,,
2017-08-22,15:00,捷克-智利,男,國立清華大學體育館,,,,
2017-08-22,15:00,南韓-烏克蘭,男,中國文化大學體育館,,,,
2017-08-22,18:00,阿根廷-伊朗,男,國立台灣大學體育館,,,,
2017-08-22,18:00,阿拉伯聯合大公國-瑞士,男,陸軍專科學校體育館,,,,
2017-08-22,18:00,巴西-墨西哥,女,國立台灣師範大學本部體育館,,,,
2017-08-22,18:00,香港-澳洲,男,國立清華大學體育館,,,,
2017-08-22,18:00,法國-美國,男,中國文化大學體育館,,,,
2017-08-22,20:00,中華台北-巴西,男,國立台灣大學體育館,,,,
2017-08-22,20:00,加拿大-賽普勒斯,男,陸軍專科學校體育館,,,,
2017-08-22,20:00,芬蘭-俄羅斯,女,國立台灣師範大學本部體育館,,,,
2017-08-22,20:00,葡萄牙-拉脫維亞,男,國立清華大學體育館,,,,
2017-08-23,13:00,加拿大-阿根廷,女,國立台灣大學體育館,,,,
2017-08-23,15:00,泰國-美國,女,國立台灣大學體育館,,,,
2017-08-23,15:00,拉脫維亞-日本,女,陸軍專科學校體育館,,,,
2017-08-23,15:00,瑞士-烏克蘭,女,國立台灣師範大學本部體育館,,,,
2017-08-23,18:00,哥倫比亞-中華台北,女,國立台灣大學體育館,,,,
2017-08-23,18:00,墨西哥-芬蘭,女,陸軍專科學校體育館,,,,
2017-08-23,18:00,捷克-法國,女,國立台灣師範大學本部體育館,,,,
2017-08-23,20:00,俄羅斯-巴西,女,國立台灣大學體育館,,,,
2017-08-24,13:00,阿根廷-加拿大,男,國立台灣大學體育館,,,,
2017-08-24,15:00,捷克-俄羅斯,男,國立台灣大學體育館,,,,
2017-08-24,15:00,伊朗-瑞士,男,陸軍專科學校體育館,,,,
2017-08-24,15:00,智利-澳洲,男,國立清華大學體育館,,,,
2017-08-24,15:00,拉脫維亞-南韓,男,中國文化大學體育館,,,,
2017-08-24,18:00,巴西-法國,男,國立台灣大學體育館,,,,
2017-08-24,18:00,賽普勒斯-阿拉伯聯合大公國,男,陸軍專科學校體育館,,,,
2017-08-24,18:00,羅馬尼亞-香港,男,國立清華大學體育館,,,,
2017-08-24,18:00,墨西哥-葡萄牙,男,中國文化大學體育館,,,,
2017-08-24,20:00,日本-中華台北,男,國立台灣大學體育館,,,,
2017-08-25,13:00,俄羅斯-泰國(1D-2C),女,國立台灣大學體育館,,W31,1/4決賽,
2017-08-25,13:00,加拿大-伊朗,男,陸軍專科學校體育館,,,,
2017-08-25,13:00,巴西-拉脫維亞(3D-4C),女,國立台灣師範大學本部體育館,,W27,9-16排名賽,
2017-08-25,15:00,法國-烏克蘭(2A-1B),女,國立台灣大學體育館,,W32,1/4決賽,
2017-08-25,15:00,阿拉伯聯合大公國-阿根廷,男,陸軍專科學校體育館,,,,
2017-08-25,15:00,哥倫比亞-瑞士(4A-3B),女,國立台灣師範大學本部體育館,,W28,9-16排名賽,
