日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-25,11:00,九號球,男,花博公園爭艷館,,,第一輪-1/8賽,M1-M4
2017-08-25,13:30,九號球,男,花博公園爭艷館,,,第二輪-1/8賽,M5-M8
2017-08-25,16:00,九號球,女,花博公園爭艷館,,,1/8賽,M1-M2
2017-08-26,11:00,九號球,男,花博公園爭艷館,,,1/4賽,M9-M12
2017-08-26,13:30,九號球,女,花博公園爭艷館,,,1/4賽,M3-M6
2017-08-26,16:00,九號球,男,花博公園爭艷館,,,準決賽,M13-M14
2017-08-27,11:00,九號球,女,花博公園爭艷館,,,準決賽,M7-M8
2017-08-27,13:30,九號球,男,花博公園爭艷館,,,金牌賽,M15+銅牌賽
2017-08-27,16:00,九號球,女,花博公園爭艷館,,,金牌賽,M15+銅牌賽
2017-08-28,11:00,九號球雙打,男,花博公園爭艷館,,,1/4賽,M1-M2
2017-08-28,13:30,九號球雙打,男,花博公園爭艷館,,,1/4賽,M3-M4
2017-08-28,16:00,九號球雙打,女,花博公園爭艷館,,,準決賽,M1-M2
2017-08-29,11:00,九號球雙打,男,花博公園爭艷館,,,準決賽,M5-M6
2017-08-29,13:30,九號球雙打,女,花博公園爭艷館,,,金牌賽,M3+銅牌賽
2017-08-29,16:00,九號球雙打,男,花博公園爭艷館,,,金牌賽,M7+銅牌賽
2017-08-29,18:30,頒獎典禮,,花博公園爭艷館,,,頒獎典禮,
