日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,09:00,銳劍,女,臺北南港展覽館1館1樓,,,預賽,
2017-08-20,11:30,銳劍,女,臺北南港展覽館1館1樓,,,前64名直接淘汰賽,
2017-08-20,12:40,銳劍,女,臺北南港展覽館1館1樓,,,前32名直接淘汰賽,
2017-08-20,14:00,軍刀,男,臺北南港展覽館1館1樓,,,預賽,
2017-08-20,14:10,銳劍,女,臺北南港展覽館1館1樓,,,前16名直接淘汰賽,
2017-08-20,15:00,銳劍,女,臺北南港展覽館1館1樓,,,1/4決賽,
2017-08-20,15:30,軍刀,男,臺北南港展覽館1館1樓,,,前64名直接淘汰賽,
2017-08-20,16:10,軍刀,男,臺北南港展覽館1館1樓,,,前32名直接淘汰賽,
2017-08-20,17:10,軍刀,男,臺北南港展覽館1館1樓,,,前16名直接淘汰賽,
2017-08-20,17:50,軍刀,男,臺北南港展覽館1館1樓,,,1/4決賽,
2017-08-20,18:30,銳劍,女,臺北南港展覽館1館1樓,,,準決賽,
2017-08-20,19:10,軍刀,男,臺北南港展覽館1館1樓,,,準決賽,
2017-08-20,19:40,銳劍,女,臺北南港展覽館1館1樓,,,決賽,
2017-08-20,20:00,軍刀,男,臺北南港展覽館1館1樓,,,決賽,
2017-08-20,20:30,銳劍,女,臺北南港展覽館1館1樓,,,頒獎典禮(決賽之後),
2017-08-20,20:45,軍刀,男,臺北南港展覽館1館1樓,,,頒獎典禮(決賽之後),
2017-08-21,09:00,銳劍,男,臺北南港展覽館1館1樓,,,預賽,
2017-08-21,11:30,銳劍,男,臺北南港展覽館1館1樓,,,前128名直接淘汰賽,
2017-08-21,12:00,銳劍,男,臺北南港展覽館1館1樓,,,前64名直接淘汰賽,
2017-08-21,12:00,鈍劍,女,臺北南港展覽館1館1樓,,,預賽,
2017-08-21,13:00,銳劍,男,臺北南港展覽館1館1樓,,,前32名直接淘汰賽,
2017-08-21,14:20,銳劍,男,臺北南港展覽館1館1樓,,,前16名直接淘汰賽,
2017-08-21,14:30,鈍劍,女,臺北南港展覽館1館1樓,,,前64名直接淘汰賽,
2017-08-21,15:00,銳劍,男,臺北南港展覽館1館1樓,,,1/4決賽,
