日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,12:00,90公斤-100公斤/100公斤以上,男,新竹縣體育館,,,預賽及復活賽,
2017-08-20,12:00,70公斤-78公斤/78公斤以上,女,新竹縣體育館,,,預賽及復活賽,
2017-08-20,17:00,90公斤-100公斤/100公斤以上,男,新竹縣體育館,,,決賽,
2017-08-20,17:00,70公斤-78公斤/78公斤以上,女,新竹縣體育館,,,決賽,
2017-08-20,18:15,90公斤-100公斤/100公斤以上,男,新竹縣體育館,,,頒獎典禮,
2017-08-20,18:15,70公斤-78公斤/78公斤以上,女,新竹縣體育館,,,頒獎典禮,
2017-08-21,12:00,73公斤-81公斤/81公斤-90公斤,男,新竹縣體育館,,,預賽及復活賽,
2017-08-21,12:00,57公斤-63公斤/63公斤-70公斤,女,新竹縣體育館,,,預賽及復活賽,
2017-08-21,17:00,73公斤-81公斤/81公斤-90公斤,男,新竹縣體育館,,,決賽,
2017-08-21,17:00,57公斤-63公斤/63公斤-70公斤,女,新竹縣體育館,,,決賽,
2017-08-21,18:15,73公斤-81公斤/81公斤-90公斤,男,新竹縣體育館,,,頒獎典禮,
2017-08-21,18:15,57公斤-63公斤/63公斤-70公斤,女,新竹縣體育館,,,頒獎典禮,
2017-08-22,12:00,60公斤-66公斤/66公斤-73公斤,男,新竹縣體育館,,,預賽及復活賽,
2017-08-22,12:00,48公斤-52公斤/52公斤-57公斤,女,新竹縣體育館,,,預賽及復活賽,
2017-08-22,17:00,60公斤-66公斤/66公斤-73公斤,男,新竹縣體育館,,,決賽,
2017-08-22,17:00,48公斤-52公斤/52公斤-57公斤,女,新竹縣體育館,,,決賽,
2017-08-22,18:15,60公斤-66公斤/66公斤-73公斤,男,新竹縣體育館,,,頒獎典禮,
2017-08-22,18:15,48公斤-52公斤/52公斤-57公斤,女,新竹縣體育館,,,頒獎典禮,
2017-08-23,12:00,60公斤以下/無限量級,男,新竹縣體育館,,,預賽及復活賽,
2017-08-23,12:00,48公斤以下/無限量級,女,新竹縣體育館,,,預賽及復活賽,
2017-08-23,17:00,60公斤以下/無限量級,男,新竹縣體育館,,,決賽,
2017-08-23,17:00,48公斤以下/無限量級,女,新竹縣體育館,,,決賽,
2017-08-23,18:15,60公斤以下/無限量級,男,新竹縣體育館,,,頒獎典禮,
2017-08-23,18:15,48公斤以下/無限量級,女,新竹縣體育館,,,頒獎典禮,
2017-08-24,12:00,團體賽,男,新竹縣體育館,,,預賽及復活賽,
2017-08-24,12:00,團體賽,女,新竹縣體育館,,,預賽及復活賽,
2017-08-24,16:00,團體賽,男,新竹縣體育館,,,決賽,
2017-08-24,16:00,團體賽,女,新竹縣體育館,,,決賽,
2017-08-24,18:15,團體賽,男,新竹縣體育館,,,頒獎典禮,
2017-08-24,18:15,團體賽,女,新竹縣體育館,,,頒獎典禮,
