日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-22,10:00-22:00,團體,男/女,新北市新莊體育館,,,小組預賽,
2017-08-23,10:00-18:00,團體,男/女,新北市新莊體育館,,,小組預賽,
2017-08-23,18:00-22:00,團體,男/女,新北市新莊體育館,,,16搶8,
2017-08-24,10:00-13:00,雙打,混合,新北市新莊體育館,,,第1輪預賽,
2017-08-24,13:00-14:00,雙打,女,新北市新莊體育館,,,第1輪預賽,
2017-08-24,14:00-15:00,雙打,男,新北市新莊體育館,,,第1輪預賽,
2017-08-24,17:00-19:00,團體,女,新北市新莊體育館,,,1/4決賽,
2017-08-24,19:00-21:00,團體,男,新北市新莊體育館,,,1/4決賽,
2017-08-25,10:00-12:00,單打,男,新北市新莊體育館,,,預賽,
2017-08-25,12:00-14:00,單打,女,新北市新莊體育館,,,預賽,
2017-08-25,14:00-16:00,單打,男,新北市新莊體育館,,,預賽,
2017-08-25,18:00-20:00,團體,女,新北市新莊體育館,,,準決賽,
2017-08-25,20:00-22:00,團體,男,新北市新莊體育館,,,準決賽,
2017-08-26,10:00-12:00,單打,女,新北市新莊體育館,,,預賽,
2017-08-26,12:00-15:00,單打,男,新北市新莊體育館,,,預賽,
2017-08-26,15:00-17:00,單打,女,新北市新莊體育館,,,預賽,
2017-08-26,18:00-20:00,團體,女,新北市新莊體育館,,,冠軍賽,
2017-08-26,20:00-22:00,團體,男,新北市新莊體育館,,,冠軍賽,
2017-08-26,22:00,團體賽頒獎典禮,,新北市新莊體育館,,,,
2017-08-27,10:00-11:00,雙打,混合,新北市新莊體育館,,,1/4決賽,
2017-08-27,11:00-11:30,雙打,女,新北市新莊體育館,,,第2輪預賽,
2017-08-27,11:30-12:00,雙打,男,新北市新莊體育館,,,第2輪預賽,
2017-08-27,12:00-12:30,雙打,女,新北市新莊體育館,,,第3輪預賽,
2017-08-27,12:30-13:00,雙打,男,新北市新莊體育館,,,第3輪預賽,
2017-08-27,13:00-13:30,雙打,女,新北市新莊體育館,,,第4輪預賽,
2017-08-27,13:30-14:00,雙打,男,新北市新莊體育館,,,第4輪預賽,
2017-08-27,14:00-15:00,雙打,混合,新北市新莊體育館,,,準決賽,
2017-08-27,17:00-18:00,雙打,女,新北市新莊體育館,,,1/4決賽,
2017-08-27,18:00-19:00,雙打,男,新北市新莊體育館,,,1/4決賽,
2017-08-27,19:00-20:00,雙打,混合,新北市新莊體育館,,,冠軍賽,
2017-08-27,20:00,混合雙打頒獎典禮,,新北市新莊體育館,,,,
2017-08-28,10:00-11:00,單打,女,新北市新莊體育館,,,第1輪預賽,
2017-08-28,11:00-12:00,單打,男,新北市新莊體育館,,,第1輪預賽,
2017-08-28,12:00-12:30,單打,女,新北市新莊體育館,,,第2輪預賽,
2017-08-28,12:30-13:00,單打,男,新北市新莊體育館,,,第2輪預賽,
2017-08-28,13:00-13:30,單打,女,新北市新莊體育館,,,第3輪預賽,
2017-08-28,13:30-14:00,單打,男,新北市新莊體育館,,,第3輪預賽,
2017-08-28,14:00-14:45,單打,女,新北市新莊體育館,,,1/4決賽,
2017-08-28,14:45-15:30,單打,男,新北市新莊體育館,,,1/4決賽,
2017-08-28,18:00-19:00,雙打,女,新北市新莊體育館,,,準決賽,
2017-08-28,19:00-20:00,雙打,男,新北市新莊體育館,,,準決賽,
2017-08-28,20:00-21:00,雙打,女,新北市新莊體育館,,,冠軍賽,
2017-08-28,21:00-22:00,雙打,男,新北市新莊體育館,,,冠軍賽,
2017-08-28,22:00,雙打頒獎典禮,,新北市新莊體育館,,,,
2017-08-29,10:00-11:00,單打,女,新北市新莊體育館,,,準決賽,
2017-08-29,11:00-12:00,單打,男,新北市新莊體育館,,,準決賽,
2017-08-29,12:00-13:00,單打,女,新北市新莊體育館,,,冠軍賽,
2017-08-29,13:00-14:00,單打,男,新北市新莊體育館,,,冠軍賽,
2017-08-29,14:00,單打頒獎典禮,,新北市新莊體育館,,,,
