日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,11:00,法國-中華臺北,男,臺北市天母棒球場,,1,A組預賽,
2017-08-20,11:00,俄羅斯-日本,男,新北市新莊棒球場,,2,B組預賽,
2017-08-20,18:30,美國-墨西哥,男,臺北市天母棒球場,,3,A組預賽,
2017-08-20,18:30,南韓-捷克,男,新北市新莊棒球場,,4,B組預賽,
2017-08-22,11:00,法國-南韓,男,臺北市天母棒球場,,5,A組預賽,
2017-08-22,11:00,日本-墨西哥,男,新北市新莊棒球場,,7,B組預賽,
2017-08-22,18:30,中華臺北-捷克,男,臺北市天母棒球場,,6,A組預賽,
2017-08-22,18:30,俄羅斯-美國,男,新北市新莊棒球場,,8,B組預賽,
2017-08-23,11:00,日本-美國 ,男,臺北市天母棒球場,,9,B組預賽,
2017-08-23,11:00,捷克-法國,男,新北市新莊棒球場,,11,A組預賽,
2017-08-23,18:30,中華臺北-南韓,男,臺北市天母棒球場,,10,A組預賽,
2017-08-23,18:30,墨西哥-俄羅斯,男,新北市新莊棒球場,,12,B組預賽,
2017-08-25,11:00,韓國-日本(1B-2A),男,臺北市天母棒球場,,13,排名賽（1-4）,
2017-08-25,11:00,中華臺北-墨西哥(3B-4A),男,新北市新莊棒球場,,14,排名賽（5-8）,
2017-08-25,18:30,美國-捷克(1A-2B),男,臺北市天母棒球場,,15,排名賽（1-4）,
2017-08-25,18:30,俄羅斯-法國(3A-4B),男,新北市新莊棒球場,,16,排名賽（5-8）,
2017-08-26,11:00,美國-韓國(2A-2B),男,臺北市天母棒球場,,17,排名賽（1-4）,
2017-08-26,11:00,俄羅斯-中華臺北(4A-4B),男,新北市新莊棒球場,,18,排名賽（5-8）,
2017-08-26,18:30,日本-捷克(1A-1B),男,臺北市天母棒球場,,19,排名賽（1-4）,
2017-08-26,18:30,墨西哥-法國(3A-3B),男,新北市新莊棒球場,,20,排名賽（5-8）,
2017-08-27,11:00,2CR-3CR,男,新北市新莊棒球場,,21,排名賽（5-8）,
2017-08-27,18:30,1CR-4CR,男,新北市新莊棒球場,,22,排名賽（5-8）,
2017-08-28,11:00,2SR-3SR,男,臺北市天母棒球場,,23,準決賽,
2017-08-28,11:00,LM21-LM22,男,新北市新莊棒球場,,25,排名賽（5-8）,
2017-08-28,18:30,1SR-4SR,男,臺北市天母棒球場,,24,準決賽,
2017-08-28,18:30,WM21-WM22,男,新北市新莊棒球場,,26,排名賽（5-8）,
2017-08-29,12:00,LM23-LM24,男,臺北市天母棒球場,,27,銅牌戰,
2017-08-29,18:30,WM23-WM24,男,臺北市天母棒球場,,28,金牌戰,
2017-08-29,21:30,頒獎典禮,男,臺北市天母棒球場,,,,
