日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-26,09:00-11:30,太極拳,女,新竹縣體育館,,,全能,
2017-08-26,09:00-11:30,太極劍,男,新竹縣體育館,,,全能,
2017-08-26,19:30-21:00,散打52公斤級,女,新竹縣體育館,,,預賽,
2017-08-26,19:30-21:00,散打60公斤級,女,新竹縣體育館,,,預賽,
2017-08-26,19:30-21:00,散打52公斤級,男,新竹縣體育館,,,預賽,
2017-08-26,19:30-21:00,散打60公斤級,男,新竹縣體育館,,,預賽,
2017-08-26,19:30-21:00,散打70公斤級,男,新竹縣體育館,,,預賽,
2017-08-26,19:30-21:00,散打80公斤級,男,新竹縣體育館,,,預賽,
2017-08-27,09:00-11:30,長拳,女,新竹縣體育館,,,決賽,
2017-08-27,09:00-11:30,長拳,男,新竹縣體育館,,,決賽,
2017-08-27,09:00-11:30,南棍,女,新竹縣體育館,,,全能,
2017-08-27,09:00-11:30,南刀,男,新竹縣體育館,,,全能,
2017-08-27,11:45-12:00,長拳,男/女,新竹縣體育館,,,頒獎,
2017-08-27,19:30-21:00,散打52公斤級,女,新竹縣體育館,,,八強賽,
2017-08-27,19:30-21:00,散打60公斤級,女,新竹縣體育館,,,八強賽,
2017-08-27,19:30-21:00,散打52公斤級,男,新竹縣體育館,,,八強賽,
2017-08-27,19:30-21:00,散打60公斤級,男,新竹縣體育館,,,八強賽,
2017-08-27,19:30-21:00,散打70公斤級,男,新竹縣體育館,,,八強賽,
2017-08-27,19:30-21:00,散打80公斤級,男,新竹縣體育館,,,八強賽,
2017-08-28,09:00-11:30,槍術,女,新竹縣體育館,,,全能,
2017-08-28,09:00-11:30,太極拳,男,新竹縣體育館,,,全能決賽,
2017-08-28,09:00-11:30,太極劍,女,新竹縣體育館,,,全能決賽,
2017-08-28,09:00-11:30,刀術,男,新竹縣體育館,,,全能,
2017-08-28,11:45-12:00,太極拳&太極劍,男/女,新竹縣體育館,,,頒獎,
2017-08-28,19:30-21:00,散打52公斤級,女,新竹縣體育館,,,準決賽,
2017-08-28,19:30-21:00,散打60公斤級,女,新竹縣體育館,,,準決賽,
2017-08-28,19:30-21:00,散打52公斤級,男,新竹縣體育館,,,準決賽,
2017-08-28,19:30-21:00,散打60公斤級,男,新竹縣體育館,,,準決賽,
2017-08-28,19:30-21:00,散打70公斤級,男,新竹縣體育館,,,準決賽,
2017-08-28,19:30-21:00,散打80公斤級,男,新竹縣體育館,,,準決賽,
2017-08-29,09:00-11:30,劍術,女,新竹縣體育館,,,全能決賽,
2017-08-29,09:00-11:30,南拳,男,新竹縣體育館,,,全能決賽,
2017-08-29,09:00-11:30,南拳,女,新竹縣體育館,,,全能決賽,
2017-08-29,09:00-11:30,棍術,男,新竹縣體育館,,,全能決賽,
2017-08-29,11:45-12:00,南刀&南拳,女,新竹縣體育館,,,頒獎,
2017-08-29,11:45-12:00,南棍&南拳,男,新竹縣體育館,,,頒獎,
2017-08-29,11:45-12:00,劍術&槍術,女,新竹縣體育館,,,頒獎,
2017-08-29,11:45-12:00,刀術&棍術,男,新竹縣體育館,,,頒獎,
2017-08-29,19:30-20:30,散打52公斤級,女,新竹縣體育館,,,決賽,
2017-08-29,19:30-20:30,散打60公斤級,女,新竹縣體育館,,,決賽,
2017-08-29,19:30-20:30,散打52公斤級,男,新竹縣體育館,,,決賽,
2017-08-29,19:30-20:30,散打60公斤級,男,新竹縣體育館,,,決賽,
2017-08-29,19:30-20:30,散打70公斤級,男,新竹縣體育館,,,決賽,
2017-08-29,19:30-20:30,散打80公斤級,男,新竹縣體育館,,,決賽,
2017-08-29,21:00-21:30,散打52公斤級,男/女,新竹縣體育館,,,頒獎,
2017-08-29,21:00-21:30,散打60公斤級,男/女,新竹縣體育館,,,頒獎,
2017-08-29,21:00-21:30,散打70公斤級,男,新竹縣體育館,,,頒獎,
2017-08-29,21:00-21:30,散打80公斤級,男,新竹縣體育館,,,頒獎,
