日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-18,09:00-10:20,中華臺北-南韓,男,新竹縣游泳館,,M1,預賽,
2017-08-18,10:20-11:40,法國-英國,男,新竹縣游泳館,,M2,預賽,
2017-08-18,11:40-13:00,義大利-荷蘭,男,新竹縣游泳館,,M3,預賽,
2017-08-18,13:00-14:20,澳洲-阿根廷,男,新竹縣游泳館,,M4,預賽,
2017-08-18,14:20-15:40,匈牙利-加拿大,男,新竹縣游泳館,,M5,預賽,
2017-08-18,15:40-17:00,塞爾維亞-南非,男,新竹縣游泳館,,M6,預賽,
2017-08-18,17:00-18:20,美國-日本,男,新竹縣游泳館,,M7,預賽,
2017-08-18,18:20-19:40,俄羅斯-羅馬尼亞,男,新竹縣游泳館,,M8,預賽,
2017-08-18,09:00-10:20,加拿大-紐西蘭,女,臺北市松山運動中心游泳池,,W1,預賽,
2017-08-18,10:20-11:40,匈牙利-日本,女,臺北市松山運動中心游泳池,,W2,預賽,
2017-08-18,11:40-13:00,俄羅斯-英國,女,臺北市松山運動中心游泳池,,W3,預賽,
2017-08-19,09:00-10:20,澳洲-希臘,女,臺北市松山運動中心游泳池,,W4,預賽,
2017-08-19,10:20-11:40,美國-法國,女,臺北市松山運動中心游泳池,,W5,預賽,
2017-08-19,11:40-13:00,義大利-阿根廷,女,臺北市松山運動中心游泳池,,W6,預賽,
2017-08-20,09:00-10:20,英國-南韓,男,新竹縣游泳館,,M9,預賽,
2017-08-20,10:20-11:40,中華臺北-法國,男,新竹縣游泳館,,M10,預賽,
2017-08-20,11:40-13:00,阿根廷-荷蘭,男,新竹縣游泳館,,M11,預賽,
2017-08-20,13:00-14:20,義大利-澳洲,男,新竹縣游泳館,,M12,預賽,
2017-08-20,14:20-15:40,南非-加拿大,男,新竹縣游泳館,,M13,預賽,
2017-08-20,15:40-17:00,匈牙利-塞爾維亞,男,新竹縣游泳館,,M14,預賽,
2017-08-20,17:00-18:20,羅馬尼亞-日本,男,新竹縣游泳館,,M15,預賽,
2017-08-20,18:20-19:40,美國-俄羅斯,男,新竹縣游泳館,,M16,預賽,
2017-08-20,10:20-11:40,紐西蘭-日本,女,臺北市松山運動中心游泳池,,W7,預賽,
2017-08-20,11:40-13:00,英國-匈牙利,女,臺北市松山運動中心游泳池,,W8,預賽,
2017-08-20,13:00-14:20,加拿大-俄羅斯,女,臺北市松山運動中心游泳池,,W9,預賽,
2017-08-20,14:20-15:40,希臘-法國,女,臺北市松山運動中心游泳池,,W10,預賽,
