日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,09:00,400m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,50m 蝶式,女,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,100m 仰式,男,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,400m 混合式,女,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,100m 蛙式,男,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,200m 仰式,女,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,50m 蝶式,男,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,4x100m 自由式接力,女,國立體育大學綜合體育館,,,預賽,
2017-08-20,09:00,4x100m 自由式接力,男,國立體育大學綜合體育館,,,預賽,
2017-08-20,19:02,400m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-20,19:10,50m 蝶式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-20,19:17,100m 仰式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-20,19:25,400m 混合式,女,國立體育大學綜合體育館,,,決賽,
2017-08-20,19:33,400m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-20,19:41,100m 蛙式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-20,19:46,200m 仰式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-20,19:54,400m 混合式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-20,20:02,50m 蝶式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-20,20:09,4x100m 自由式接力,女,國立體育大學綜合體育館,,,決賽,
2017-08-20,20:19,4x100m 自由式接力,男,國立體育大學綜合體育館,,,決賽,
2017-08-20,20:29,4x100m 自由式接力,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-20,20:37,4x100m 自由式接力,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-21,09:00,200m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-21,09:00,100m 蛙式,女,國立體育大學綜合體育館,,,預賽,
2017-08-21,09:00,200m 混合式,男,國立體育大學綜合體育館,,,預賽,
2017-08-21,09:00,100m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-21,09:00,1500m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-21,19:02,50m 蝶式,男,國立體育大學綜合體育館,,,決賽,
2017-08-21,19:07,100m 自由式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-21,19:15,100m 仰式,男,國立體育大學綜合體育館,,,決賽,
2017-08-21,19:21,50m 蝶式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-21,19:29,50m 蝶式,女,國立體育大學綜合體育館,,,決賽,
2017-08-21,19:34,100m 蛙式,男,國立體育大學綜合體育館,,,決賽,
2017-08-21,19:39,100m 仰式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-21,19:47,100m 蛙式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-21,19:55,200m 混合式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-21,20:06,50m 蝶式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-21,20:14,200m 仰式,女,國立體育大學綜合體育館,,,決賽,
2017-08-21,20:19,200m 自由式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-21,20:30,100m 蛙式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-21,20:38,200m 仰式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-22,09:00,200m 蝶式,男,國立體育大學綜合體育館,,,預賽,
2017-08-22,09:00,200m 混合式,女,國立體育大學綜合體育館,,,預賽,
2017-08-22,09:00,200m 蛙式,男,國立體育大學綜合體育館,,,預賽,
2017-08-22,09:00,100m 仰式,女,國立體育大學綜合體育館,,,預賽,
2017-08-22,09:00,50m 仰式,男,國立體育大學綜合體育館,,,預賽,
2017-08-22,09:00,1500m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-22,19:02,1500m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-22,19:22,200m 蛙式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-22,19:32,200m 混合式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-22,19:43,1500m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-22,19:51,200m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-22,19:57,100m 蛙式,女,國立體育大學綜合體育館,,,決賽,
2017-08-22,20:03,200m 蝶式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-22,20:13,200m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-22,20:21,100m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-22,20:26,200m 混合式,男,國立體育大學綜合體育館,,,決賽,
2017-08-22,20:33,100m 蛙式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-22,20:41,100m 仰式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-22,20:49,50m 仰式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-22,20:56,100m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-22,21:04,200m 混合式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,09:00,200m 蛙式,女,國立體育大學綜合體育館,,,預賽,
2017-08-23,09:00,100m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-23,09:00,100m 蝶式,女,國立體育大學綜合體育館,,,預賽,
2017-08-23,09:00,800m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-23,09:00,4x200m 自由式接力,女,國立體育大學綜合體育館,,,預賽,
2017-08-23,19:02,1500m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-23,19:22,200m 混合式,女,國立體育大學綜合體育館,,,決賽,
2017-08-23,19:28,100m 自由式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-23,19:36,1500m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,19:44,100m 蝶式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-23,19:52,200m 混合式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,20:00,200m 蛙式,男,國立體育大學綜合體育館,,,決賽,
2017-08-23,20:08,100m 仰式,女,國立體育大學綜合體育館,,,決賽,
2017-08-23,20:13,200m 蝶式,男,國立體育大學綜合體育館,,,決賽,
2017-08-23,20:21,200m 蛙式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,20:29,200m 蛙式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-23,20:40,50m 仰式,男,國立體育大學綜合體育館,,,決賽,
2017-08-23,20:45,100m 仰式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,20:53,4x200m 自由式接力,女,國立體育大學綜合體育館,,,決賽,
2017-08-23,21:05,200m 蝶式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,21:13,50m 仰式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-23,21:21,4x200m 自由式接力,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-24,09:00,200m 仰式,男,國立體育大學綜合體育館,,,預賽,
2017-08-24,09:00,200m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-24,09:00,100m 蝶式,男,國立體育大學綜合體育館,,,預賽,
2017-08-24,09:00,50m 仰式,女,國立體育大學綜合體育館,,,預賽,
2017-08-24,09:00,50m 蛙式,男,國立體育大學綜合體育館,,,預賽,
2017-08-24,09:00,800m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-24,19:02,800m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-24,19:13,200m 自由式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-24,19:23,100m 蝶式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-24,19:31,800m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-24,19:39,200m 蛙式,女,國立體育大學綜合體育館,,,決賽,
2017-08-24,19:46,100m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-24,19:51,50m 仰式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-24,19:57,200m 仰式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-24,20:08,200m 蛙式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-24,20:16,100m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-24,20:24,100m 蝶式,女,國立體育大學綜合體育館,,,決賽,
2017-08-24,20:29,50m 蛙式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-24,20:36,100m 蝶式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,09:00,50m 蛙式,女,國立體育大學綜合體育館,,,預賽,
2017-08-25,09:00,50m 自由式,男,國立體育大學綜合體育館,,,預賽,
2017-08-25,09:00,200m 蝶式,女,國立體育大學綜合體育館,,,預賽,
2017-08-25,09:00,50m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-25,09:00,4x200m 自由式接力,男,國立體育大學綜合體育館,,,預賽,
2017-08-25,19:02,800m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-25,19:13,50m 蛙式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-25,19:19,100m 蝶式,男,國立體育大學綜合體育館,,,決賽,
2017-08-25,19:24,200m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-25,19:31,800m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,19:39,50m 自由式,男,國立體育大學綜合體育館,,,準決賽,
2017-08-25,19:46,100m 蝶式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,19:54,200m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,20:04,50m 仰式,女,國立體育大學綜合體育館,,,決賽,
2017-08-25,20:09,200m 仰式,男,國立體育大學綜合體育館,,,決賽,
2017-08-25,20:17,200m 蝶式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-25,20:28,50m 蛙式,男,國立體育大學綜合體育館,,,決賽,
2017-08-25,20:34,50m 仰式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,20:42,200m 仰式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,20:50,50m 自由式,女,國立體育大學綜合體育館,,,準決賽,
2017-08-25,20:57,4x200m 自由式接力,男,國立體育大學綜合體育館,,,決賽,
2017-08-25,21:09,50m 蛙式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-25,21:17,4x200m 自由式接力,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,09:00,400m 自由式,女,國立體育大學綜合體育館,,,預賽,
2017-08-26,09:00,400m 混合式,男,國立體育大學綜合體育館,,,預賽,
2017-08-26,09:00,4x100m 混合式接力,女,國立體育大學綜合體育館,,,預賽,
2017-08-26,09:00,4x100m 混合式接力,男,國立體育大學綜合體育館,,,預賽,
2017-08-26,19:02,50m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-26,19:07,50m 自由式,男,國立體育大學綜合體育館,,,決賽,
2017-08-26,19:12,50m 蛙式,女,國立體育大學綜合體育館,,,決賽,
2017-08-26,19:17,200m 蝶式,女,國立體育大學綜合體育館,,,決賽,
2017-08-26,19:23,50m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,19:31,50m 自由式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,19:39,400m 混合式,男,國立體育大學綜合體育館,,,決賽,
2017-08-26,19:48,50m 蛙式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,19:56,200m 蝶式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,20:04,400m 自由式,女,國立體育大學綜合體育館,,,決賽,
2017-08-26,20:13,400m 混合式,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,20:21,4x100m 混合式接力,女,國立體育大學綜合體育館,,,決賽,
2017-08-26,20:30,4x100m 混合式接力,男,國立體育大學綜合體育館,,,決賽,
2017-08-26,20:39,400m 自由式,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,20:47,4x100m 混合式接力,女,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-26,20:55,4x100m 混合式接力,男,國立體育大學綜合體育館,,,頒獎典禮,
2017-08-27,08:00,馬拉松游泳,男,新北市微風運河,,,決賽,
2017-08-27,10:00,馬拉松游泳,女,新北市微風運河,,,決賽,
2017-08-27,12:05,馬拉松游泳,男,新北市微風運河,,,頒獎典禮,
2017-08-27,12:13,馬拉松游泳,女,新北市微風運河,,,頒獎典禮,
