日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-21,09:00-09:40,300公尺計時賽,男,迎風河濱公園溜冰場,,,預賽,
2017-08-21,09:50-10:30,300公尺計時賽,女,迎風河濱公園溜冰場,,,預賽,
2017-08-21,11:00-11:40,10000公尺計點淘汰賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-21,14:40-15:30,10000公尺計點淘汰賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-21,15:40-16:20,300公尺計時賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-21,16:30-17:00,300公尺計時賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-21,17:35,頒獎典禮,,迎風河濱公園溜冰場,,,,
2017-08-22,09:00-09:20,1000公尺爭先賽,男,迎風河濱公園溜冰場,,,預賽,
2017-08-22,09:30-09:50,1000公尺爭先賽,女,迎風河濱公園溜冰場,,,預賽,
2017-08-22,09:55-10:10,1000公尺爭先賽,男,迎風河濱公園溜冰場,,,複賽,
2017-08-22,10:15-10:30,1000公尺爭先賽,女,迎風河濱公園溜冰場,,,複賽,
2017-08-22,11:00-12:00,15000公尺淘汰賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-22,15:20-16:30,15000公尺淘汰賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-22,16:40-17:20,1000公尺爭先賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-22,17:30-18:00,1000公尺爭先賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-22,18:35,頒獎典禮,,迎風河濱公園溜冰場,,,,
2017-08-23,09:00-09:20,500公尺爭先賽,男,迎風河濱公園溜冰場,,,預賽,
2017-08-23,09:30-09:50,500公尺爭先賽,女,迎風河濱公園溜冰場,,,預賽,
2017-08-23,09:55-10:05,500公尺爭先賽,男,迎風河濱公園溜冰場,,,複賽,
2017-08-23,10:10-10:20,500公尺爭先賽,女,迎風河濱公園溜冰場,,,複賽,
2017-08-23,10:50-11:20,3000公尺接力賽,男,迎風河濱公園溜冰場,,,預賽,
2017-08-23,11:30-12:00,3000公尺接力賽,女,迎風河濱公園溜冰場,,,預賽,
2017-08-23,15:20-15:40,500公尺爭先賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-23,15:50-16:10,500公尺爭先賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-23,16:20-16:35,3000公尺接力賽,男,迎風河濱公園溜冰場,,,決賽,
2017-08-23,16:45-17:00,3000公尺接力賽,女,迎風河濱公園溜冰場,,,決賽,
2017-08-23,17:35-,頒獎典禮,,迎風河濱公園溜冰場,,,,
2017-08-25,09:00-09:40,速度過樁,男,迎風河濱公園溜冰場,,,預賽,
2017-08-25,09:50-10:30,速度過樁,女,迎風河濱公園溜冰場,,,預賽,
2017-08-25,10:40-11:20,速度過樁,男,迎風河濱公園溜冰場,,,複賽,
2017-08-25,11:30-12:10,速度過樁,女,迎風河濱公園溜冰場,,,複賽,
2017-08-25,14:40-15:10,速度過樁,男,迎風河濱公園溜冰場,,,準決賽,
2017-08-25,15:20-15:50,速度過樁,女,迎風河濱公園溜冰場,,,準決賽,
2017-08-25,16:00-16:20,速度過樁,男,迎風河濱公園溜冰場,,,決賽,
2017-08-25,16:30-16:50,速度過樁,女,迎風河濱公園溜冰場,,,決賽,
2017-08-25,17:25,頒獎典禮,,迎風河濱公園溜冰場,,,,
2017-08-26,07:00-08:30,馬拉松,男,台北市仁愛路段(含凱達格蘭大道),,,決賽,
2017-08-26,08:40-10:10,馬拉松,女,台北市仁愛路段(含凱達格蘭大道),,,決賽,
2017-08-26,10:35,頒獎典禮,,台北市仁愛路段(含凱達格蘭大道),,,,
