日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-23,09:00,400公尺,女,臺北田徑場,,,預賽,
2017-08-23,09:30,鐵餅,女,臺北田徑場,,,資格賽,A
2017-08-23,09:35,400公尺,男,臺北田徑場,,,預賽,
2017-08-23,10:00,鉛球,男,臺北田徑場,,,資格賽,A+B
2017-08-23,10:30,100公尺,男,臺北田徑場,,,預賽,
2017-08-23,10:35,三級跳遠,男,臺北田徑場,,,資格賽,A+B
2017-08-23,10:40,鐵餅,女,臺北田徑場,,,資額賽,B
2017-08-23,11:40,100公尺,女,臺北田徑場,,,預賽,
2017-08-23,12:00,鏈球,男,臺北田徑場,,,資格賽,A
2017-08-23,13:00,鏈球,男,臺北田徑場,,,資格賽,B
2017-08-23,18:00,800公尺,女,臺北田徑場,,,預賽,
2017-08-23,18:10,標槍,女,臺北田徑場,,,資格賽,A
2017-08-23,18:35,100公尺,男,臺北田徑場,,,複賽,
2017-08-23,18:45,跳高,男,臺北田徑場,,,資格賽,A+B
2017-08-23,19:05,1500公尺,男,臺北田徑場,,,預賽,
2017-08-23,19:15,標槍,女,臺北田徑場,,,資格賽,B
2017-08-23,19:15,跳遠,女,臺北田徑場,,,資格賽,A+B
2017-08-23,19:30,鉛球,男,臺北田徑場,,,決賽,
2017-08-23,19:45,10000公尺,女,臺北田徑場,,,決賽,
2017-08-23,20:30,10000公尺項目頒獎典禮,女,臺北田徑場,,,第1場頒獎典禮,
2017-08-23,20:40,鉛球項目頒獎典禮,男,臺北田徑場,,,第2場頒獎典禮,
2017-08-23,09:00,撐竿跳高,女,臺北田徑場,,,資格賽,A+B
2017-08-24,09:15,標槍,男,臺北田徑場,,,資格賽,A
2017-08-24,09:30,100公尺,男,臺北田徑場,,,十項全能1,
2017-08-24,10:30,400公尺跨欄,男,臺北田徑場,,,預賽,
2017-08-24,10:45,跳遠,男,臺北田徑場,,,十項全能2,A+B
2017-08-24,10:45,標槍,男,臺北田徑場,,,資格賽,B
2017-08-24,11:15,3000公尺障礙,男,臺北田徑場,,,預賽,
2017-08-24,11:45,3000公尺障礙,女,臺北田徑場,,,預賽,
2017-08-24,12:15,鏈球,女,臺北田徑場,,,資格賽,A
2017-08-24,12:15,鉛球,男,臺北田徑場,,,十項全能3,A+B
2017-08-24,13:15,鏈球,女,臺北田徑場,,,資格賽,B
2017-08-24,16:45,鏈球,男,臺北田徑場,,,決賽,
2017-08-24,18:00,跳高,男,臺北田徑場,,,十項全能4,A+B
2017-08-24,18:00,400公尺跨欄,女,臺北田徑場,,,預賽,
2017-08-24,18:30,400公尺,女,臺北田徑場,,,準決賽,
2017-08-24,18:40,跳遠,女,臺北田徑場,,,決賽,
2017-08-24,18:55,100公尺,女,臺北田徑場,,,準決賽,
2017-08-24,19:16,鏈球項目頒獎典禮,男,臺北田徑場,,,第3場頒獎典禮,
2017-08-24,19:20,鐵餅,女,臺北田徑場,,,決賽,
2017-08-24,19:20,100公尺,男,臺北田徑場,,,準決賽,
2017-08-24,19:40,400公尺,男,臺北田徑場,,,準決賽,
2017-08-24,20:05,800公尺,女,臺北田徑場,,,準決賽,
2017-08-24,20:25,100公尺,女,臺北田徑場,,,決賽,
2017-08-24,20:40,100公尺,男,臺北田徑場,,,決賽,
2017-08-24,21:00,10000公尺,男,臺北田徑場,,,決賽,
2017-08-24,21:35,100公尺項目頒獎典禮,女,臺北田徑場,,,第4場頒獎典禮,
2017-08-24,21:40,100公尺項目頒獎典禮,男,臺北田徑場,,,第5場頒獎典禮,
2017-08-24,21:45,400公尺,男,臺北田徑場,,,十項全能5,
2017-08-24,22:05,鐵餅項目頒獎典禮,女,臺北田徑場,,,第6場頒獎典禮,
2017-08-24,22:10,跳遠項目頒獎典禮,女,臺北田徑場,,,第7場頒獎典禮,
2017-08-24,22:15,10000公尺項目頒獎典禮,男,臺北田徑場,,,第8場頒獎典禮,
2017-08-25,09:00,110公尺跨欄,男,臺北田徑場,,,十項全能6,
2017-08-25,09:20,三級跳遠,女,臺北田徑場,,,資格賽,A+B
2017-08-25,09:30,100公尺跨欄,女,臺北田徑場,,,預賽,
2017-08-25,10:00,撐竿跳高,男,臺北田徑場,,,資格賽,A+B
2017-08-25,10:00,鐵餅,男,臺北田徑場,,,十項全能7,A
2017-08-25,10:15,200公尺,女,臺北田徑場,,,預賽預賽,
2017-08-25,11:00,鐵餅,男,臺北田徑場,,,十項全能7,B
2017-08-25,11:15,200公尺,男,臺北田徑場,,,預賽,
2017-08-25,15:00,撐竿跳高,男,臺北田徑場,,,十項全能8,A+B
2017-08-25,17:00,200公尺,男,臺北田徑場,,,複賽,
2017-08-25,17:30,200公尺,女,臺北田徑場,,,準決賽,
2017-08-25,17:45,標槍,男,臺北田徑場,,,十項全能9,A
2017-08-25,17:55,400公尺跨欄,男,臺北田徑場,,,準決賽,
