日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-21,09:30,單打,男,臺北市網球中心,,,64強,室內和室外
2017-08-21,09:30,單打,女,臺北市網球中心,,,64強,室內和室外
2017-08-22,09:30,單打,男,臺北市網球中心,,,64強,室內和室外
2017-08-22,09:30,單打,女,臺北市網球中心,,,64強,室內和室外
2017-08-22,09:30,雙打,男,臺北市網球中心,,,32強,室內和室外
2017-08-22,09:30,雙打,女,臺北市網球中心,,,32強,室內和室外
2017-08-23,09:30,單打,男,臺北市網球中心,,,32強,室內和室外
2017-08-23,09:30,單打,女,臺北市網球中心,,,32強,室內和室外
2017-08-23,09:30,雙打,男,臺北市網球中心,,,32強,室內和室外
2017-08-23,09:30,雙打,女,臺北市網球中心,,,32強,室內和室外
2017-08-24,09:30,單打,男,臺北市網球中心,,,16強,室內和室外
2017-08-24,09:30,單打,女,臺北市網球中心,,,16強,室內和室外
2017-08-24,09:30,雙打,男,臺北市網球中心,,,16強,室內和室外
2017-08-24,09:30,雙打,女,臺北市網球中心,,,16強,室內和室外
2017-08-24,09:30,混雙,男/女,臺北市網球中心,,,32強,室內和室外
2017-08-25,09:30,單打,男,臺北市網球中心,,,16強,室內和室外
2017-08-25,09:30,單打,女,臺北市網球中心,,,16強,室內和室外
2017-08-25,09:30,雙打,男,臺北市網球中心,,,16強,室內和室外
2017-08-25,09:30,雙打,女,臺北市網球中心,,,16強,室內和室外
2017-08-25,09:30,雙打,男/女,臺北市網球中心,,,32強,室內和室外
2017-08-25,09:30,安慰賽,男,臺北市網球中心,,,32強,室外
2017-08-25,09:30,安慰賽,男,臺北市網球中心,,,32強,室外
2017-08-26,09:30,單打,男,臺北市網球中心,,,8強,室內和室外
2017-08-26,09:30,單打,女,臺北市網球中心,,,8強,室內和室外
2017-08-26,09:30,雙打,男,臺北市網球中心,,,8強,室內和室外
2017-08-26,09:30,雙打,女,臺北市網球中心,,,8強,室內和室外
2017-08-26,09:30,雙打,男/女,臺北市網球中心,,,16強,室內和室外
2017-08-26,09:30,安慰賽,男,臺北市網球中心,,,16強,室外
2017-08-26,09:30,安慰賽,男,臺北市網球中心,,,16強,室外
2017-08-27,09:30,單打,男,臺北市網球中心,,,8強,室內和室外
2017-08-27,09:30,單打,女,臺北市網球中心,,,8強,室內和室外
2017-08-27,09:30,雙打,男,臺北市網球中心,,,4強,室內和室外
2017-08-27,09:30,雙打,女,臺北市網球中心,,,4強,室內和室外
2017-08-27,09:30,雙打,男/女,臺北市網球中心,,,8強,室內和室外
2017-08-27,09:30,安慰賽,男,臺北市網球中心,,,8強＆4強,室外
2017-08-27,09:30,安慰賽,女,臺北市網球中心,,,8強＆4強,室外
2017-08-28,10:00,單打,男,臺北市網球中心,,,4強,室內和室外
2017-08-28,10:00,單打,女,臺北市網球中心,,,4強,室內和室外
2017-08-28,10:00,雙打,男/女,臺北市網球中心,,,4強,室內和室外
2017-08-28,10:00,雙打,女,臺北市網球中心,,,金牌戰,主球場
2017-08-28,10:00,雙打,女,臺北市網球中心,,,頒獎典禮,主球場
2017-08-28,10:00,雙打,男,臺北市網球中心,,,金牌戰,主球場
2017-08-28,10:00,雙打,男,臺北市網球中心,,,頒獎典禮,主球場
2017-08-28,10:00,安慰賽,男,臺北市網球中心,,,金牌戰,室外
2017-08-28,10:00,安慰賽,女,臺北市網球中心,,,金牌戰,室外
2017-08-29,10:00,單打,女,臺北市網球中心,,,金牌戰,主球場
2017-08-29,11:00,單打,女,臺北市網球中心,,,頒獎典禮,主球場
2017-08-29,13:00,單打,男,臺北市網球中心,,,金牌戰,主球場
2017-08-29,14:00,單打,男,臺北市網球中心,,,頒獎典禮,主球場
2017-08-29,17:00,混雙,男/女,臺北市網球中心,,,金牌戰,主球場
2017-08-29,18:00,混雙,男/女,臺北市網球中心,,,頒獎典禮,主球場
2017-08-29,18:15,團體,女,臺北市網球中心,,,頒獎典禮,主球場
2017-08-29,18:30,團體,男,臺北市網球中心,,,頒獎典禮,主球場
