日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-23,09:00,"團體賽(男單,女單,男雙,女雙,混雙)",男／女,臺北體育館,,,預賽,21:00結束
2017-08-24,09:00,"團體賽(男單,女單,男雙,女雙,混雙)",男／女,臺北體育館,,,預賽,16:00結束
2017-08-24,18:00,"團體賽(男單,女單,男雙,女雙,混雙)",男／女,臺北體育館,,,決賽,
2017-08-25,09:00,"團體賽(男單,女單,男雙,女雙,混雙)",男／女,臺北體育館,,,準決賽,
2017-08-25,15:00,"團體賽(男單,女單,男雙,女雙,混雙)",男／女,臺北體育館,,,金牌賽,
2017-08-25,18:30,團體賽頒獎典禮,,臺北體育館,,,頒獎典禮,
2017-08-27,09:00,"個人賽(混雙,男單,女單,男雙,女雙)",男／女,臺北體育館,,,預賽,21:00結束
2017-08-28,09:00,"個人賽(混雙,男單)",男／女,臺北體育館,,,1/8決賽,
2017-08-28,15:00,"個人賽(女單,男雙,女雙)",男／女,臺北體育館,,,1/4決賽,
2017-08-29,09:00,"個人賽(混雙,男單,女單,男雙,女雙)",男／女,臺北體育館,,,準決賽,
2017-08-29,18:00,個人賽混雙,男／女,臺北體育館,,,金牌賽,
2017-08-29,18:50,個人賽混雙頒獎典禮,,臺北體育館,,,頒獎典禮,
2017-08-29,19:00,個人賽女單,女,臺北體育館,,,金牌賽,
2017-08-29,19:50,個人賽女單頒獎典禮,,臺北體育館,,,頒獎典禮,
2017-08-29,20:00,個人賽男單,男,臺北體育館,,,金牌賽,
2017-08-29,20:50,個人賽男單頒獎典禮,,臺北體育館,,,頒獎典禮,
2017-08-29,21:00,個人賽女雙,女,臺北體育館,,,金牌賽,
2017-08-29,21:50,個人賽女雙頒獎典禮,,臺北體育館,,,頒獎典禮,
2017-08-29,22:00,個人賽男雙,男,臺北體育館,,,金牌賽,
2017-08-29,22:50,個人賽男雙頒獎典禮,,臺北體育館,,,頒獎典禮,
