日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,09:30,女子組48kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-20,11:30,男子組56、62kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-20,14:00,男子組56kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-20,16:30,女子組48kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-20,19:00,男子組62kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-21,09:30,女子組53、58kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-21,11:30,男子組69kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-21,14:00,女子組53kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-21,16:30,男子組69kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-21,19:00,女子組58kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-22,09:30,女子組63kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-22,11:30,男子組77kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-22,14:00,女子組63kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-22,16:30,男子組77kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-23,09:30,女子組69kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-23,11:30,男子組85kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-23,14:00,女子組69kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-23,16:30,男子組85kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-24,09:30,女子組75kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-24,11:30,男子組94、105kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-24,14:00,男子組94kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-24,16:30,女子組75kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-24,19:00,男子組105kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-25,09:30,女子組90kg、+90kg B組,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-25,11:30,男子組+105kg B組,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-25,14:00,女子組90kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
2017-08-25,16:30,男子組+105kg A組+頒獎典禮,男,淡江大學紹謨紀念體育館,,,決賽,
2017-08-25,19:00,女子組+90kg A組+頒獎典禮,女,淡江大學紹謨紀念體育館,,,決賽,
