日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-18,11:00-13:00,英國-南非,女,長庚大學田徑場,,W05,,
2017-08-18,16:00-18:00,中華臺北-阿根廷,女,輔仁大學體育場,,W01,,
2017-08-18,16:00-18:00,韓國-美國,女,新北市新莊田徑場,,W02,,
2017-08-18,16:00-18:00,巴西-哥倫比亞,女,長庚大學田徑場,,W04,,
2017-08-18,16:00-18:00,墨西哥-愛爾蘭,女,新竹縣第二運動場,,W03,,
2017-08-18,19:30-21:30,中華臺北-墨西哥,男,輔仁大學體育場,,M01,,
2017-08-18,19:30-21:30,愛爾蘭-法國,男,新北市新莊田徑場,,M02,,
2017-08-18,19:30-21:30,義大利-美國,男,長庚大學田徑場,,M03,,
2017-08-18,19:30-21:30,巴西-俄羅斯,男,新竹縣第二運動場,,M04,,
2017-08-19,11:00-13:00,日本-馬來西亞,男,輔仁大學體育場,,M05,,
2017-08-19,11:00-13:00,烏拉圭-加拿大,男,新北市新莊田徑場,,M06,,
2017-08-19,11:00-13:00,韓國-阿根廷,男,長庚大學田徑場,,M07,,
2017-08-19,11:00-13:00,南非-烏克蘭,男,新竹縣第二運動場,,M08,,
2017-08-20,16:00-18:00,加拿大-愛爾蘭,女,輔仁大學體育場,,W07,,
2017-08-20,19:30-21:30,中華臺北-美國,女,輔仁大學體育場,,W09,,
2017-08-20,19:30-21:30,俄羅斯-南非,女,新北市新莊田徑場,,W06,,
2017-08-20,19:30-21:30,日本-哥倫比亞,女,長庚大學田徑場,,W08,,
2017-08-20,19:30-21:30,韓國-阿根廷,女,新竹縣第二運動場,,W10,,
2017-08-21,16:00-18:00,日本-加拿大,男,輔仁大學體育場,,M11,,
2017-08-21,16:00-18:00,韓國-烏克蘭,男,新北市新莊田徑場,,M09,,
2017-08-21,16:00-18:00,南非-阿根廷,男,長庚大學田徑場,,M10,,
2017-08-21,16:00-18:00,烏拉圭-馬來西亞,男,新竹縣第二運動場,,M12,,
2017-08-21,19:30-21:30,中 華 臺 北 - 法 國,男,輔仁大學體育場,,M13,,
2017-08-21,19:30-21:30,愛爾蘭-墨西哥,男,新北市新莊田徑場,,M14,,
2017-08-21,19:30-21:30,巴西-美國,男,長庚大學田徑場,,M15,,
2017-08-21,19:30-21:30,義大利-俄羅斯,男,新竹縣第二運動場,,M16,,
2017-08-22,16:00-18:00,加拿大-墨西哥,女,輔仁大學體育場,,W14,,
2017-08-22,19:30-21:30,中華臺北-韓國,女,輔仁大學體育場,,W11,,
2017-08-22,19:30-21:30,美國-阿根廷,女,新北市新莊田徑場,,W12,,
2017-08-22,19:30-21:30,日本-巴西,女,長庚大學田徑場,,W13,,
2017-08-22,19:30-21:30,俄羅斯-英國,女,新竹縣第二運動場,,W15,,
2017-08-23,16:00-18:00,義大利-巴西,男,輔仁大學體育場,,M17,,
2017-08-23,16:00-18:00,加拿大-馬來西亞,男,新北市新莊田徑場,,M18,,
2017-08-23,16:00-18:00,日本-烏拉圭,男,長庚大學田徑場,,M19,,
2017-08-23,16:00-18:00,俄羅斯-美國,男,新竹縣第二運動場,,M20,,
2017-08-23,19:30-21:30,中華臺北-愛爾蘭,男,輔仁大學體育場,,M21,,
2017-08-23,19:30-21:30,法國-墨西哥,男,新北市新莊田徑場,,M22,,
2017-08-23,19:30-21:30,韓國-南非,男,長庚大學田徑場,,M23,,
2017-08-23,19:30-21:30,烏克蘭-阿根廷,男,新竹縣第二運動場,,M24,,
2017-08-24,16:00-18:00,阿根廷-英國(4A-3D),女,新竹縣第二運動場,,W16,落選賽9-13名,
2017-08-24,19:30-21:30,美國-南非(1A-2D),女,輔仁大學體育場,,W17,8強賽,
2017-08-24,19:30-21:30,韓國-俄羅斯(2A-1D),女,新北市新莊田徑場,,W18,8強賽,
2017-08-24,19:30-21:30,墨西哥-日本(1B-2C),女,長庚大學田徑場,,W19,8強賽,
2017-08-24,19:30-21:30,加拿大-巴西(2B-1C),女,新竹縣第二運動場,,W20,8強賽,
2017-08-25,16:00-18:00,愛爾蘭-南非(3A-4D),男,輔仁大學體育場,,M25,落選賽9-16名,
2017-08-25,16:00-18:00,中華臺北-韓國(4A-3D),男,新北市新莊田徑場,,M26,落選賽9-16名,
2017-08-25,16:00-18:00,加拿大-美國(3B-4C),男,長庚大學田徑場,,M27,落選賽9-16名,
2017-08-25,16:00-18:00,馬來西亞-巴西(4B-3C),男,新竹縣第二運動場,,M28,落選賽9-16名,
2017-08-25,19:30-21:30,墨西哥-烏克蘭(1A-2D),男,輔仁大學體育場,,M29,8強賽,
2017-08-25,19:30-21:30,法國-阿根廷(2A-1D),男,新北市新莊田徑場,,M30,8強賽,
2017-08-25,19:30-21:30,日本-義大利(1B-2C),男,長庚大學田徑場,,M31,8強賽,
2017-08-25,19:30-21:30,烏拉圭-俄羅斯(2B-1C),男,新竹縣第二運動場,,M32,8強賽,
2017-08-26,16:00-18:00,英國-哥倫比亞(WW16-3C),女,輔仁大學體育場,,W22,落選賽9-12名,
2017-08-26,16:00-18:00,中華台北-愛爾蘭(3A-3B),女,新竹縣第二運動場,,W21,落選賽9-12名,
2017-08-26,19:30-21:30,俄羅斯-巴西(WW18-WW20),女,輔仁大學體育場,,W26,準決賽,
2017-08-26,19:30-21:30,美國-墨西哥(LW17-LW19),女,新北市新莊田徑場,,W23,落選賽5-8名,
2017-08-26,19:30-21:30,韓國-加拿大(LW18-LW20),女,長庚大學田徑場,,W24,落選賽5-8名,
2017-08-26,19:30-21:30,南非-日本(WW17-WW19),女,新竹縣第二運動場,,W25,準決賽,
2017-08-27,16:00-18:00,韓國-巴西(WM26-WM28),男,輔仁大學體育場,,M36,落選賽9-12名,
2017-08-27,16:00-18:00,中華臺北-馬來西亞(LM26-LM28),男,新北市新莊田徑場,,M33,落選賽13-16名,
2017-08-27,16:00-18:00,愛爾蘭-美國(LM25-LM27),男,長庚大學田徑場,,M34,落選賽13-16名,
2017-08-27,16:00-18:00,南非-加拿大(WM25-WM27),男,新竹縣第二運動場,,M35,落選賽9-12名,
2017-08-27,19:30-21:30,法國-烏拉圭(WM30-WM32),男,輔仁大學體育場,,M40,準決賽,
2017-08-27,19:30-21:30,烏克蘭-義大利(LM29-LM31),男,新北市新莊田徑場,,M37,落選賽5-8名,
2017-08-27,19:30-21:30,阿根廷-俄羅斯(LM30-LM32),男,長庚大學田徑場,,M38,落選賽5-8名,
2017-08-27,19:30-21:30,墨西哥-日本(WM29-WM31),男,新竹縣第二運動場,,M39,準決賽,
2017-08-28,16:00-18:00,南非-俄羅斯(LW25-LW26),女,輔仁大學體育場,,W28,銅牌賽,
2017-08-28,16:00-18:00,中華台北-哥倫比亞(LW21-LW22),女,新竹縣第二運動場,,W27,11-12排名賽,
2017-08-28,20:00-22:00,日本-巴西(WW25-WW26),女,輔仁大學體育場,,W32,金牌賽及頒獎,
2017-08-28,20:00-22:00,墨西哥-加拿大(LW23-LW24),女,新北市新莊田徑場,,W29,7-8排名賽,
2017-08-28,20:00-22:00,愛爾蘭-英國(WW21-WW22),女,長庚大學田徑場,,W30,9-10排名賽,
2017-08-28,20:00-22:00,美國-韓國(WW23-WW24),女,新竹縣第二運動場,,W31,5-6排名賽,
2017-08-29,16:00-18:00,LM39-LM40,男,輔仁大學體育場,,M44,銅牌賽,
2017-08-29,16:00-18:00,LM33-LM34,男,新北市新莊田徑場,,M41,15-16排名賽,
2017-08-29,16:00-18:00,WM33-WM34,男,長庚大學田徑場,,M42,13-14排名賽,
2017-08-29,16:00-18:00,LM35-LM36,男,新竹縣第二運動場,,M43,11-12排名賽,
2017-08-29,20:00-22:00,WM39-WM40,男,輔仁大學體育場,,M48,金牌賽及頒獎,
2017-08-29,20:00-22:00,LM37-LM38,男,新北市新莊田徑場,,M46,7-8排名賽,
2017-08-29,20:00-22:00,WM35-WM36,男,長庚大學田徑場,,M45,9-10排名賽,
2017-08-29,20:00-22:00,WM37-WM38,男,新竹縣第二運動場,,M47,5-6排名賽,
