日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-20,10:00-11:35,1米跳板,女,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-20,13:00-13:20,1米跳板,女,臺北市立大學天母校區詩欣館B1,,,A組半決賽,
2017-08-20,13:30-13:50,1米跳板,女,臺北市立大學天母校區詩欣館B1,,,B組半決賽,
2017-08-20,14:30-15:10,1米跳板,女,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-20,16:00-17:05,10米雙人跳臺,男,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-20,17:10,女子一米跳板頒獎典禮,女,臺北市立大學天母校區詩欣館B1,,,,
2017-08-20,17:25,男子10米雙人跳臺頒獎典禮,男,臺北市立大學天母校區詩欣館B1,,,,
2017-08-21,10:00-11:55,1米跳板,男,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-21,13:00-13:25,1米跳板,男,臺北市立大學天母校區詩欣館B1,,,A組半決賽,
2017-08-21,13:35-14:00,1米跳板,男,臺北市立大學天母校區詩欣館B1,,,B組半決賽,
2017-08-21,14:45-15:35,1米跳板,男,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-21,16:15-17:10,10米雙人跳臺,女,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-21,17:15,男子一米跳板頒獎典禮,男,臺北市立大學天母校區詩欣館B1,,,,
2017-08-21,17:30,女子10米雙人跳臺頒獎典禮,女,臺北市立大學天母校區詩欣館B1,,,,
2017-08-22,10:00-11:35,跳臺,女,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-22,13:00-14:15,跳臺,女,臺北市立大學天母校區詩欣館B1,,,半決賽,
2017-08-22,16:00-16:55,3米混合雙人跳板,混合,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-22,17:05,3米混合雙人跳板頒獎典禮,混合,臺北市立大學天母校區詩欣館B1,,,,
2017-08-23,10:00-11:55,3米跳板,男,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-23,13:00-14:30,3米跳板,男,臺北市立大學天母校區詩欣館B1,,,半決賽,
2017-08-23,16:00-17:00,跳臺,女,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-23,17:10,女子跳臺決賽頒獎典禮,女,臺北市立大學天母校區詩欣館B1,,,,
2017-08-24,13:00-13:55,10米混合雙人跳臺,混合,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-24,14:45-16:00,3米跳板,男,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-24,16:45-17:40,3米雙人跳板,女,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-24,17:45,10米混合雙人跳臺頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-24,18:00,男子3米跳板頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-24,18:15,女子3米雙人跳板頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-25,10:00-11:35,3米跳板,女,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-25,13:00-14:15,3米跳板,女,臺北市立大學天母校區詩欣館B1,,,半決賽,
2017-08-25,16:00-17:05,3米雙人跳板,男,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-25,17:15,男子3米雙人跳板頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-26,10:00-11:55,跳臺,男,臺北市立大學天母校區詩欣館B1,,,預賽,
2017-08-26,13:00-14:30,跳臺,男,臺北市立大學天母校區詩欣館B1,,,半決賽,
2017-08-26,16:00-17:00,3米跳板,女,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-26,17:10,女子3米跳板頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-27,13:00-14:15,跳臺,男,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-27,15:00-16:00,全能,混合,臺北市立大學天母校區詩欣館B1,,,決賽,
2017-08-27,16:10,男子跳臺頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-27,16:25,混合全能頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-27,16:40,男子團體頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
2017-08-27,16:55,女子團體頒獎典禮,,臺北市立大學天母校區詩欣館B1,,,,
